,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Riberalta,61,BO,1569892196,61,-11.0,-66.08,82.33,3.83
375,Tiksi,90,RU,1569891919,84,71.64,128.87,23.83,13.51
376,Tilichiki,76,RU,1569892147,76,60.47,166.1,43.9,7.81
377,Owando,100,CG,1569892197,93,-0.49,15.91,69.19,2.26
378,Nichinan,75,JP,1569892198,83,31.65,131.31,78.8,4.7
379,Pangnirtung,100,CA,1569892198,98,66.15,-65.72,31.44,2.42
380,Ha Giang,18,VN,1569892198,81,22.83,104.99,62.37,1.77
381,Gonzales,0,US,1569891983,39,36.51,-121.44,66.2,12.75
382,Kloulklubed,75,PW,1569892199,74,7.04,134.26,84.2,5.82
383,Manoel Urbano,100,BR,1569892199,98,-8.84,-69.26,73.2,3.0
384,Sitka,73,US,1569892199,67,37.17,-99.65,79.0,15.01
385,Kangaatsiaq,33,GL,1569892200,73,68.31,-53.46,39.76,8.81
386,Gejiu,43,CN,1569892200,89,23.36,103.16,60.28,4.03
387,Arman,100,RU,1569892200,63,59.7,150.17,29.19,5.61
388,Batagay-Alyta,26,RU,1569892201,76,67.8,130.41,10.36,3.85
389,Hami,40,CN,1569892201,38,42.84,93.51,59.9,14.54
390,Yar-Sale,100,RU,1569892202,91,66.83,70.83,35.29,9.33
391,Sabi,19,SN,1569892202,72,13.24,-14.19,79.66,4.07
392,Tsabong,0,BW,1569892202,33,-26.02,22.4,50.76,9.19
393,Sal Rei,47,CV,1569892203,83,16.18,-22.92,77.02,11.39
394,Mayumba,71,GA,1569892203,79,-3.44,10.65,76.14,7.99
395,Mandera,1,ET,1569892203,84,3.94,41.86,73.99,5.01
396,Salalah,20,OM,1569892204,83,17.01,54.1,78.8,3.36
397,Lerwick,13,GB,1569892204,81,60.15,-1.15,44.6,9.17
398,Khor,87,RU,1569892204,81,47.88,134.96,55.09,3.36
399,Longyearbyen,0,NO,1569891925,63,78.22,15.63,30.2,18.34
400,Shellbrook,90,CA,1569892205,95,53.22,-106.39,37.4,6.93
401,Rolla,1,US,1569892021,65,37.95,-91.77,81.0,5.82
402,San Patricio,0,PY,1569892205,35,-26.98,-56.83,84.85,11.52
403,Batemans Bay,6,AU,1569892206,65,-35.71,150.18,62.01,8.01
404,Bayir,0,TR,1569892206,87,37.27,28.22,57.2,3.36
405,Bowen,75,AU,1569892206,57,-20.01,148.25,80.6,8.05
406,Ayan,0,IR,1569892207,42,38.23,44.7,46.67,4.52
407,Fort Nelson,75,CA,1569892055,54,58.81,-122.69,59.0,4.7
408,Gulariya,94,IN,1569892207,93,28.2,81.35,71.42,3.8
409,Puerto Colombia,75,CO,1569892208,100,10.99,-74.96,75.99,3.36
410,Strezhevoy,90,RU,1569892208,93,60.73,77.6,39.2,8.95
411,Le Port,0,FR,1569892070,63,42.87,1.37,63.0,4.0
412,Saposoa,75,PE,1569892209,290,-6.93,-76.77,62.6,5.82
413,Moramanga,99,MG,1569892209,98,-18.95,48.23,62.42,1.97
414,Kamenka,83,MD,1569892209,78,48.03,28.7,53.01,4.0
415,Aguas Formosas,18,BR,1569892210,97,-17.08,-40.94,67.12,5.73
416,Jijiga,50,ET,1569892210,88,9.35,42.8,59.25,5.35
417,South Venice,1,US,1569892210,74,27.05,-82.42,82.99,8.05
418,Fairbanks,90,US,1569892211,76,64.84,-147.72,51.8,3.56
419,Karwar,47,IN,1569892211,89,14.8,74.13,77.13,3.69
420,Chulman,100,RU,1569892211,99,56.84,124.9,32.14,2.91
421,Intipuca,18,SV,1569892212,73,13.2,-88.05,84.69,8.52
422,Coquimbo,0,CL,1569892212,76,-29.95,-71.34,55.4,6.93
423,Lubana,87,CD,1569892212,95,0.23,29.1,59.95,2.46
424,Shirokiy,100,RU,1569892213,99,53.87,39.17,55.99,5.99
425,Rumoi,20,JP,1569892213,93,43.93,141.67,60.8,2.24
426,Nabire,75,ID,1569892213,94,-3.36,135.5,75.02,1.5
427,Japura,90,ID,1569892214,93,-0.42,102.29,73.29,1.48
428,Aracati,6,BR,1569892050,80,-4.56,-37.77,74.8,7.96
429,Bitung,20,ID,1569892128,48,1.44,125.19,87.8,4.7
430,Kaihua,43,CN,1569892215,73,29.14,118.41,72.21,2.3
431,Arlit,86,NE,1569892215,14,18.74,7.39,92.19,15.17
432,Susanville,75,US,1569892082,80,40.42,-120.65,46.4,9.17
433,Ambulu,88,ID,1569892216,87,-8.35,113.61,71.64,4.63
434,Hay River,75,CA,1569892216,42,60.82,-115.79,46.4,17.22
435,Malartic,90,CA,1569892216,71,48.14,-78.13,50.0,4.7
436,La Palma,55,CO,1569892217,97,5.36,-74.39,71.26,3.6
437,Aljezur,49,PT,1569892217,95,37.31,-8.8,66.0,1.01
438,Karpogory,100,RU,1569892217,98,64.0,44.44,44.58,4.52
439,Severo-Yeniseyskiy,47,RU,1569892218,95,60.37,93.04,25.59,3.2
440,Kalmunai,6,LK,1569892056,91,7.42,81.82,73.56,2.42
441,Jieshi,1,CN,1569892218,69,22.82,115.83,84.0,2.35
442,Cortez,1,US,1569892203,16,37.35,-108.58,75.2,14.99
443,Belen,40,US,1569892093,20,34.66,-106.78,86.0,19.46
444,Kagadi,95,UG,1569892219,84,0.95,30.8,67.73,3.98
445,Santa Isabel,1,MX,1569892219,7,32.63,-115.58,86.0,4.7
446,Rawson,46,AR,1569892220,23,-43.3,-65.11,48.96,14.09
447,Polewali,99,ID,1569892220,75,-4.03,119.8,80.47,15.5
448,Singleton,75,AU,1569892221,59,-32.57,151.17,66.99,10.29
449,Havelock,75,US,1569892221,78,34.88,-76.9,77.0,5.82
450,Maniitsoq,95,GL,1569892221,69,65.42,-52.9,40.69,2.42
451,Berezovyy,17,RU,1569892222,62,51.67,135.7,49.95,2.91
452,Dalby,40,AU,1569891971,46,-27.18,151.26,71.6,21.92
453,Havre,90,US,1569892222,80,48.55,-109.68,33.8,10.29
454,Ouallam,74,NE,1569892222,39,14.32,2.08,90.9,18.97
455,Ygatimi,0,PY,1569892223,33,-24.08,-55.5,84.51,5.01
456,Kozlovo,100,RU,1569892223,93,56.51,36.26,53.17,9.95
457,Farah,10,AF,1569892223,37,32.37,62.11,68.0,6.24
458,Vila Velha,0,BR,1569892224,74,-3.71,-38.6,78.8,6.93
459,Vostok,56,RU,1569892224,77,46.45,135.83,60.66,5.06
460,Berea,40,US,1569892224,65,37.57,-84.3,82.99,4.7
461,Alofi,75,NU,1569892225,74,-19.06,-169.92,82.4,12.75
462,Manzanillo,90,MX,1569892225,94,19.05,-104.32,77.0,9.17
463,Karratha,0,AU,1569892225,14,-20.74,116.85,86.77,8.46
464,Zhatay,0,RU,1569892226,60,62.16,129.84,39.2,4.47
465,Juneau,90,US,1569892226,87,58.3,-134.42,48.2,17.22
466,Surt,0,LY,1569892226,57,31.21,16.59,77.13,1.59
467,Changping,0,CN,1569892227,73,40.22,116.23,81.0,2.24
468,Talara,52,PE,1569892227,91,-4.58,-81.27,65.62,22.08
469,Boliqueime,0,PT,1569892227,77,37.13,-8.16,66.0,4.7
470,Kintampo,96,GH,1569892228,91,8.05,-1.73,73.26,3.33
471,Khasan,0,RU,1569892228,66,42.43,130.64,67.75,2.13
472,Te Anau,3,NZ,1569892228,60,-45.41,167.72,39.72,2.57
473,Chivay,62,PE,1569892229,70,-15.64,-71.6,38.5,3.24
474,Padilla,75,CO,1569892229,88,3.23,-76.31,71.6,4.7
475,Collie,5,AU,1569892229,89,-33.36,116.15,55.99,1.99
476,Kutum,56,SD,1569892230,58,14.2,24.66,77.5,2.82
477,Zaria,78,NG,1569892230,89,11.11,7.72,70.09,3.98
478,Baykit,94,RU,1569891963,94,61.68,96.39,24.31,2.68
479,Mato Verde,86,BR,1569892230,61,-15.4,-42.86,76.32,10.65
480,Kabelvag,80,NO,1569892231,66,68.21,14.48,45.45,3.47
481,Half Moon Bay,1,US,1569892231,67,37.46,-122.43,64.4,10.29
482,Hovd,40,NO,1569892231,100,63.83,10.7,37.99,5.82
483,Belyy Yar,0,RU,1569892232,69,53.6,91.39,35.6,6.71
484,Uravakonda,73,IN,1569892232,78,14.95,77.26,75.45,2.55
485,Vao,100,EE,1569892041,96,59.1,26.19,50.09,7.4
486,Quixeramobim,0,BR,1569892232,67,-5.2,-39.3,76.32,9.1
487,Shingu,75,JP,1569892233,74,33.72,135.99,80.6,3.36
488,Tual,51,ID,1569892098,86,-5.67,132.75,79.18,15.17
489,Jhargram,62,IN,1569892233,92,22.45,86.99,72.14,3.96
490,Makakilo City,75,US,1569892233,74,21.35,-158.09,87.8,11.41
491,Vila,0,IT,1569892234,100,45.18,8.4,66.0,4.7
492,Kirkuk,0,IQ,1569892234,24,35.47,44.4,66.97,2.3
493,Venice,1,US,1569891992,74,27.1,-82.45,82.99,8.05
494,Henties Bay,0,NA,1569892235,87,-22.12,14.28,63.0,5.99
495,Zafra,1,ES,1569892235,45,38.43,-6.42,69.01,1.99
496,Blackwater,100,GB,1569892236,87,51.33,-0.78,62.01,11.41
497,College,90,US,1569892035,76,64.86,-147.8,51.8,3.56
498,Sarkand,96,KZ,1569892237,43,45.41,79.91,40.82,10.25
499,Port Macquarie,90,AU,1569892237,55,-31.43,152.91,68.0,8.05
500,Margate,20,AU,1569892030,47,-43.03,147.26,59.0,6.93
501,Gazanjyk,51,TM,1569892237,38,39.24,55.52,60.64,9.17
502,Mwingi,33,KE,1569892238,90,-0.93,38.07,67.12,3.51
503,Mokhsogollokh,70,RU,1569892238,82,61.4,128.95,31.77,6.06
504,San Andres,100,PH,1569892238,78,13.32,122.68,82.33,4.32
505,Kendari,77,ID,1569892238,65,-3.99,122.52,83.23,0.78
506,Taoudenni,0,ML,1569892239,12,22.68,-3.98,92.73,11.36
507,Tanuku,90,IN,1569892239,94,16.75,81.69,80.6,2.89
508,Tagusao,100,PH,1569892239,73,9.19,117.81,81.9,2.19
509,Kahului,40,US,1569892240,62,20.89,-156.47,84.2,11.41
510,Stephenville,20,CA,1569892240,70,48.55,-58.59,46.4,10.29
511,Talaya,20,RU,1569891986,95,55.79,84.89,32.0,6.71
512,Port Blair,2,IN,1569892022,79,11.67,92.75,81.41,5.3
513,Santa Pola,100,ES,1569892241,94,38.19,-0.56,75.0,2.24
514,Singkang,75,MY,1569892167,94,2.1,102.8,75.2,6.49
515,Davila,75,PH,1569892242,94,18.47,120.58,78.8,6.93
516,Vanimo,89,PG,1569892242,73,-2.67,141.3,81.19,1.7
517,Texistepeque,20,SV,1569892242,74,14.12,-89.5,82.4,4.7
518,Esperanza,0,AR,1569892242,54,-31.45,-60.93,86.0,1.99
519,Husavik,100,CA,1569892243,98,50.56,-96.99,43.0,16.69
520,Waingapu,1,ID,1569892151,63,-9.65,120.26,78.78,12.39
521,Marzuq,33,YE,1569892118,57,14.4,46.47,73.72,3.38
522,High Level,75,CA,1569892094,42,58.52,-117.13,46.4,6.93
523,LaPlace,40,US,1569892244,70,30.07,-90.48,86.0,4.9
524,Puerto Ayacucho,40,CO,1569892244,83,5.66,-67.63,80.6,3.96
525,Norheimsund,75,NO,1569892244,93,60.37,6.14,45.0,27.51
526,Ramapuram,40,IN,1569892244,94,13.03,80.18,78.8,3.96
527,Zelenoborsk,61,RU,1569892245,92,61.47,64.05,33.58,8.41
528,Buin,75,CL,1569892245,66,-33.73,-70.74,51.8,12.75
529,Teacapan,100,MX,1569892246,72,22.54,-105.74,80.55,2.98
530,Burnie,61,AU,1569892246,43,-41.05,145.91,62.01,3.0
531,Shache,65,CN,1569892246,94,38.42,77.24,68.0,11.65
532,Uaua,34,BR,1569892246,58,-9.84,-39.48,75.83,14.9
533,Khirkiya,100,IN,1569892247,89,22.17,76.86,73.2,4.59
534,Bodden Town,75,KY,1569892247,89,19.28,-81.25,84.2,9.17
535,Belaya Gora,0,RU,1569892247,59,68.54,146.19,26.83,7.65
536,Mapiripan,33,CO,1569892248,67,2.89,-72.13,79.5,2.21
537,Nikko,100,JP,1569892248,40,36.75,139.62,81.0,3.0
538,Puerto Escondido,75,MX,1569892248,69,15.86,-97.07,82.4,12.75
539,Sobolevo,93,RU,1569892249,94,54.43,31.9,53.56,15.66
540,Bondoukou,81,CI,1569892249,94,8.04,-2.8,71.74,2.51
541,Sartell,90,US,1569892249,100,45.62,-94.21,78.8,11.41
542,Newtownards,100,GB,1569892250,93,54.59,-5.69,51.8,16.11
543,Ciudad Bolivar,86,VE,1569892250,76,8.12,-63.55,80.06,3.31
544,Hamilton,75,CA,1569892011,93,43.26,-79.87,61.0,6.93
545,Bijar,0,IR,1569892251,62,35.87,47.6,42.87,1.86
546,Finschhafen,100,PG,1569892251,95,-6.6,147.85,69.22,3.06
547,Alegrete,14,BR,1569892251,66,-29.79,-55.79,74.89,9.1
548,Darnah,0,LY,1569892252,71,32.77,22.64,75.69,9.93
549,Deniliquin,0,AU,1569892252,44,-35.53,144.96,62.64,4.83
550,Valparaiso,1,US,1569892204,78,41.47,-87.06,82.4,9.82
551,Jilib,72,SO,1569892252,94,0.49,42.79,75.0,5.23
552,Kailua,90,US,1569892253,66,21.39,-157.74,87.8,11.41
553,Hvide Sande,100,DK,1569892253,76,56.01,8.13,48.2,3.36
554,Yakeshi,29,CN,1569892253,71,49.28,120.73,56.46,5.21
555,Tessalit,0,ML,1569892152,11,20.2,1.01,89.15,12.44
556,Nibbar,0,TN,1569892254,53,36.29,8.77,68.16,1.61
557,Necochea,100,AR,1569892254,86,-38.55,-58.74,50.0,4.0
558,San Ignacio,95,PE,1569892255,85,-5.15,-79.0,66.22,1.34
559,Kjopsvik,98,NO,1569892255,86,68.1,16.37,44.01,19.46
560,Teahupoo,20,PF,1569892255,61,-17.83,-149.27,82.4,8.05
561,Melfi,0,IT,1569892256,100,41.0,15.66,66.2,1.12
562,Mapiri,86,BO,1569892256,94,-15.31,-68.22,54.41,1.39
563,Tuy Hoa,62,VN,1569892256,84,13.08,109.3,75.49,1.72
564,Kodinsk,30,RU,1569892024,87,58.6,99.18,25.21,2.68
